id,username,email,fullname,password,role,phone,is_banned,bonus_points,created_at,updated_at
1,Homenick3562,jeanberge@crist.net,Halle Kshlerin,$2a$10$CD5VkQWfsA6B7ngYd8zmzOM4hqXrC6g.ma8/DJGwsxCZS0EI70D6G,user,1315911811,f,0,2025-04-05 22:16:48.545752+00,2025-04-05 22:16:48.545752+00
2,Luettgen2551,nathanialbins@schaefer.info,Carey Pagac,$2a$10$rDN4TDBNuXEAWggZWOmv8OxgK9xI.2ojT3TmjzITktfoKJjMXvdXa,user,6383159685,f,0,2025-04-05 22:16:49.828178+00,2025-04-05 22:16:49.828178+00
3,Stroman7709,audragrimes@heaney.net,Isaias Ullrich,$2a$10$xRXgxd.KCFm20C3AaS1hw.WfRyUxJOeryeOnHFXoInZCUaKEOx4lS,user,8237246023,f,0,2025-04-05 22:16:51.125493+00,2025-04-05 22:16:51.125493+00
4,Hoeger8248,florencelittel@sporer.name,Kory Buckridge,$2a$10$DueGXsimWIXrYp9HDdy3Fez7Xhe5GGTabJyvQk/Khm5U3The/sym.,user,8028734859,f,0,2025-04-05 22:16:55.549191+00,2025-04-05 22:16:55.549191+00
5,Marquardt7352,darionwill@herman.io,Marc Hane,$2a$10$bAxzlUg/KaIqVPzLTf62xOy0hbCTFF1.oxVSHqN.L5lYJ7ZRPg.dy,user,5943539254,f,0,2025-04-05 22:16:56.698268+00,2025-04-05 22:16:56.698268+00
6,Tillman7772,shanonhills@ullrich.net,Willow Hodkiewicz,$2a$10$SgfYoxtub2wozKbPA1xFsu1nx7.2xgSXtxnKne.AbUPbJW81jJSUS,user,6305876659,f,0,2025-04-05 22:16:57.876909+00,2025-04-05 22:16:57.876909+00
7,Schuppe2096,kayleyhalvorson@jakubowski.biz,Tyrell Collier,$2a$10$N8IpJdEBX8eu5XlAtsVBAuF4NCUepEA/iaHa2VuT2hat81lz6Xi9O,user,5894502598,f,0,2025-04-05 22:16:59.043514+00,2025-04-05 22:16:59.043514+00
8,Kemmer5029,velvaturner@frami.biz,Maida Padberg,$2a$10$3Bzaunlk7In2wmnTUyik.OLZbcP8flVSjLAK1Ql1jJzTd6AEwmvhu,user,5556564432,f,0,2025-04-05 22:17:00.219538+00,2025-04-05 22:17:00.219538+00
9,Feest7913,isabellestehr@thiel.name,Delbert Kiehn,$2a$10$3kCBnRTqG73DMrh/7OKBh.dvc4OZ59b/VCv31ntbgFeR44w/f5cny,user,5944313787,f,0,2025-04-05 22:17:01.398402+00,2025-04-05 22:17:01.398402+00
10,Feil3096,murrayhermiston@mcglynn.net,Dustin Kovacek,$2a$10$a1YrRnR8IHRqwX/sMxG9heoeQTWNanrNVpZJZLiVsfJoCZTTQTk3K,user,5086165608,f,0,2025-04-05 22:17:02.576544+00,2025-04-05 22:17:02.576544+00
11,Heller3124,joanniestark@kessler.com,Adriel Walter,$2a$10$qz1y.VPENlnQSj.9V2xNKu3IdypOXUQ1Zx8uxaRV9SyQSXoHuetaq,user,7999148173,f,0,2025-04-05 22:17:03.74219+00,2025-04-05 22:17:03.74219+00
12,Krajcik3737,katrinecorkery@langosh.biz,Electa Frami,$2a$10$EfipkW3y6Aqd3a6KA3TKiOMnD.r8eAWE6RX2xgPuichXDGbeHugJ6,user,2317635492,f,0,2025-04-05 22:17:04.935335+00,2025-04-05 22:17:04.935335+00
13,Grant1008,hiltonhermiston@beahan.name,Sterling Wisoky,$2a$10$09b5GI7FjBMe4AisRM//RuTAsrb/7VvaG4wy..UhZlNTQnJzWLfxi,user,8054931624,f,0,2025-04-05 22:17:06.114428+00,2025-04-05 22:17:06.114428+00
14,Wuckert1636,merlewolf@wolff.io,Halie Reichert,$2a$10$n1B42Vx8.4JRkJZSMzgxAOTY7zFqX845mpdy6rqZA7jiVlGYR4xlS,user,5639159876,f,0,2025-04-05 22:17:07.296954+00,2025-04-05 22:17:07.296954+00
15,Nikolaus1580,euniceconnelly@collins.name,Russ Terry,$2a$10$Vq7ZCVDVHu.7pWvJ1hm6QeSg4Cl1ra9DegzagVDn1fIgCplUjLuou,user,7318758518,f,0,2025-04-05 22:17:09.035141+00,2025-04-05 22:17:09.035141+00
16,admin,admin@example.com,admin,$2a$10$TIy8fk5x19udKAhZq5MzCOHuVjZIPp1ScmIwipNmm9mABbWwignau,admin,79999999999,f,0,2025-04-05 22:17:09.720246+00,2025-04-05 22:17:09.720246+00
18,Kulas3960,daphneyboyle@altenwerth.com,Brock Grimes,$2a$10$.RCsqjpJUHWK6BYYhymwyuPY46HMW4sD/7YX3gsM9xdJdhCxW/PIO,user,8563987695,f,0,2025-04-05 22:17:09.997663+00,2025-04-05 22:17:09.997663+00
19,Purdy6109,tannerhansen@zieme.org,Skye Damore,$2a$10$DQc5FiDmLGC4KdxSr9FF4OG4ImM5kIe/3LvMUWQ0xnDU9OV9f77ji,user,2509145786,f,0,2025-04-05 22:17:10.853296+00,2025-04-05 22:17:10.853296+00
20,Gaylord3696,nicholaushahn@braun.net,Maximillia West,$2a$10$bYTPGodYA9sI5eT0ZtjL.OaLli7AwCRBqSer6dVVCJ3Qh9a/PoY6.,user,4784611327,f,0,2025-04-05 22:17:11.699065+00,2025-04-05 22:17:11.699065+00
21,Dach2929,stevesporer@moore.name,Griffin Kub,$2a$10$PYCWnlNq/dxKBtF/zqzAjep5ySzvBUoJ7OUhJ.2ejSsbjTndywsFa,user,8197809720,f,0,2025-04-05 22:17:12.563691+00,2025-04-05 22:17:12.563691+00
22,Nitzsche3375,karivonrueden@mraz.info,Kacey Mayert,$2a$10$iQh178a8owon26s.9DggkeOrFI4Jq.hzqYgNGPCPKJIId47ExTbcq,user,6570347425,f,0,2025-04-05 22:17:13.420329+00,2025-04-05 22:17:13.420329+00
23,Beer6341,ryderwitting@haley.io,Vaughn Kerluke,$2a$10$suX.DJ2CdkDhEOx2HbUs3.gGibHjKMYxabgmRMOou.CguP.SyZRQO,user,1369720982,f,0,2025-04-05 22:17:14.295572+00,2025-04-05 22:17:14.295572+00
24,Cassin7239,jessikaschmitt@jacobi.org,Leilani Russel,$2a$10$f8gE4oxoKQ9RXILK8kMTG.MzBahnulQp8PS5eKgzy1kK.SW6rK25K,user,7940171588,f,0,2025-04-05 22:17:15.18233+00,2025-04-05 22:17:15.18233+00
25,Rodriguez4690,armanimurray@prohaska.io,Winston Weimann,$2a$10$S0jXgQjX1AMGkfP66i09TO.4L5OugtyU3pApDINkyV/G8GzEpMQHa,user,5762034607,f,0,2025-04-05 22:17:16.07806+00,2025-04-05 22:17:16.07806+00
26,Brekke4415,aglaeschulist@marks.io,Bernice Kuhic,$2a$10$NN485o5SPoLWeKxcI79kSO77f3L0bqxnGGRhb8vyvDBXOWPMHC1FG,user,1227773906,f,0,2025-04-05 22:17:16.962001+00,2025-04-05 22:17:16.962001+00
27,Krajcik1883,aracelikiehn@hartmann.name,Brennon Armstrong,$2a$10$iLNo2MkeNbKv/48wEJEtA.wE0QLL9bWySo/oM/2DxVKpeNRQhWzsO,user,3468147204,f,0,2025-04-05 22:17:17.85143+00,2025-04-05 22:17:17.85143+00
28,Skiles7897,clarissaferry@schulist.biz,Eduardo Rau,$2a$10$hQusokH2ZjUsP/.ZnZgiT.xPhxqGNLVbgG1EeZehKnPP1mskaLc8O,user,7362943996,f,0,2025-04-05 22:17:18.709581+00,2025-04-05 22:17:18.709581+00
29,Wehner8288,borisbrekke@reinger.org,Joyce Barton,$2a$10$SJERNYcyppR7W9uURiVPoecpY7UuyFSBcBdSvUtpmzdx/PlQiP4hO,user,4953540890,f,0,2025-04-05 22:17:19.588966+00,2025-04-05 22:17:19.588966+00
30,Friesen6179,noemielegros@marks.biz,Agnes Harris,$2a$10$liNMfiXqZsNUcAJYU69KWuxSb3xlFYZxzXrcTTeU7Hgr4.WEMDi3i,user,2852180560,f,0,2025-04-05 22:17:20.427731+00,2025-04-05 22:17:20.427731+00
31,Balistreri8365,narcisoboyle@swaniawski.biz,Thad Berge,$2a$10$.zXl6uiEuVxewrSgMdLXP.OwZ5zTKTQCtvJFSJVVugA9t9ci/5mhi,user,5998120214,f,0,2025-04-05 22:17:21.62432+00,2025-04-05 22:17:21.62432+00
32,Baumbach9548,enasatterfield@abbott.io,Nathanial Lakin,$2a$10$B7VJTa0tXtf/juUoordo8OOCgnTffxP1qs1LKhiqmEzNdkyaiKX/.,user,2161094685,f,0,2025-04-05 22:17:22.812905+00,2025-04-05 22:17:22.812905+00
